symbol,query_symbol,industry,category,subcategory,longName,exchange,primaryExchange
MRNA,MRNA,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,MODERNA INC,SMART,NASDAQ
MS,MS,Financial,Banks,Diversified Banking Inst,MORGAN STANLEY,SMART,NYSE
MSCI,MSCI,Technology,Software,Decision Support Softwar,MSCI INC,SMART,NYSE
MSFT,MSFT,Technology,Software,Applications Software,MICROSOFT CORP,SMART,NASDAQ
MSI,MSI,Communications,Telecommunications,Wireless Equipment,MOTOROLA SOLUTIONS INC,SMART,NYSE
MTB,MTB,Financial,Banks,Commer Banks-Eastern US,M & T BANK CORP,SMART,NYSE
MTCH,MTCH,Communications,Internet,E-Commerce/Services,MATCH GROUP INC,SMART,NASDAQ
MTD,MTD,Industrial,Electronics,Instruments-Controls,METTLER-TOLEDO INTERNATIONAL,SMART,NYSE
MU,MU,Technology,Semiconductors,Electronic Compo-Semicon,MICRON TECHNOLOGY INC,SMART,NASDAQ
NCLH,NCLH,"Consumer, Cyclical",Leisure Time,Cruise Lines,NORWEGIAN CRUISE LINE HOLDIN,SMART,NYSE
NDAQ,NDAQ,Financial,Diversified Finan Serv,Finance-Other Services,NASDAQ INC,SMART,NASDAQ
NDSN,NDSN,Industrial,Machinery-Diversified,Machinery-General Indust,NORDSON CORP,SMART,NASDAQ
NEE,NEE,Utilities,Electric,Electric-Integrated,NEXTERA ENERGY INC,SMART,NYSE
NEM,NEM,Basic Materials,Mining,Gold Mining,NEWMONT CORP,SMART,NYSE
NFLX,NFLX,Communications,Internet,Internet Content-Entmnt,NETFLIX INC,SMART,NASDAQ
NI,NI,Utilities,Gas,Gas-Distribution,NISOURCE INC,SMART,NYSE
NKE,NKE,"Consumer, Cyclical",Apparel,Athletic Footwear,NIKE INC -CL B,SMART,NYSE
NOC,NOC,Industrial,Aerospace/Defense,Aerospace/Defense,NORTHROP GRUMMAN CORP,SMART,NYSE
NOW,NOW,Technology,Software,Applications Software,SERVICENOW INC,SMART,NYSE
NRG,NRG,Utilities,Electric,Independ Power Producer,NRG ENERGY INC,SMART,NYSE
NSC,NSC,Industrial,Transportation,Transport-Rail,NORFOLK SOUTHERN CORP,SMART,NYSE
NTAP,NTAP,Technology,Computers,Computers-Memory Devices,NETAPP INC,SMART,NASDAQ
NTRS,NTRS,Financial,Banks,Fiduciary Banks,NORTHERN TRUST CORP,SMART,NASDAQ
NUE,NUE,Basic Materials,Iron/Steel,Steel-Producers,NUCOR CORP,SMART,NYSE
NVDA,NVDA,Technology,Semiconductors,Electronic Compo-Semicon,NVIDIA CORP,SMART,NASDAQ
NVR,NVR,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,NVR INC,SMART,NYSE
NWS,NWS,Communications,Media,Publishing-Newspapers,NEWS CORP - CLASS B,SMART,NASDAQ
NWSA,NWSA,Communications,Media,Publishing-Newspapers,NEWS CORP - CLASS A,SMART,NASDAQ
NXPI,NXPI,Technology,Semiconductors,Semicon Compo-Intg Circu,NXP SEMICONDUCTORS NV,SMART,NASDAQ
O,O,Financial,REITS,REITS-Single Tenant,REALTY INCOME CORP,SMART,NYSE
ODFL,ODFL,Industrial,Transportation,Transport-Truck,OLD DOMINION FREIGHT LINE,SMART,NASDAQ
OKE,OKE,Energy,Pipelines,Pipelines,ONEOK INC,SMART,NYSE
OMC,OMC,Communications,Advertising,Advertising Agencies,OMNICOM GROUP,SMART,NYSE
ON,ON,Technology,Semiconductors,Electronic Compo-Semicon,ON SEMICONDUCTOR,SMART,NASDAQ
ORCL,ORCL,Technology,Software,Enterprise Software/Serv,ORACLE CORP,SMART,NYSE
ORLY,ORLY,"Consumer, Cyclical",Retail,Retail-Auto Parts,O'REILLY AUTOMOTIVE INC,SMART,NASDAQ
OTIS,OTIS,Industrial,Machinery-Diversified,Machinery-General Indust,OTIS WORLDWIDE CORP,SMART,NYSE
OXY,OXY,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,OCCIDENTAL PETROLEUM CORP,SMART,NYSE
PANW,PANW,Communications,Internet,Internet Security,PALO ALTO NETWORKS INC,SMART,NASDAQ
PAYC,PAYC,Technology,Software,Enterprise Software/Serv,PAYCOM SOFTWARE INC,SMART,NYSE
PAYX,PAYX,Technology,Software,Data Processing/Mgmt,PAYCHEX INC,SMART,NASDAQ
PCAR,PCAR,"Consumer, Cyclical",Auto Manufacturers,Auto-Med&Heavy Duty Trks,PACCAR INC,SMART,NASDAQ
PCG,PCG,Utilities,Electric,Electric-Integrated,P G & E CORP,SMART,NYSE
PEG,PEG,Utilities,Electric,Electric-Integrated,PUBLIC SERVICE ENTERPRISE GP,SMART,NYSE
PEP,PEP,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,PEPSICO INC,SMART,NASDAQ
PFE,PFE,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,PFIZER INC,SMART,NYSE
PFG,PFG,Financial,Insurance,Life/Health Insurance,PRINCIPAL FINANCIAL GROUP,SMART,NASDAQ
PG,PG,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,PROCTER & GAMBLE CO/THE,SMART,NYSE
PGR,PGR,Financial,Insurance,Property/Casualty Ins,PROGRESSIVE CORP,SMART,NYSE
PH,PH,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,PARKER HANNIFIN CORP,SMART,NYSE
PHM,PHM,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,PULTE GROUP INC,SMART,NYSE
PKG,PKG,Industrial,Packaging&Containers,Containers-Paper/Plastic,PACKAGING CORP OF AMERICA,SMART,NYSE
PLD,PLD,Financial,REITS,REITS-Warehouse/Industr,PROLOGIS INC,SMART,NYSE
PLTR,PLTR,Technology,Software,Enterprise Software/Serv,PALANTIR TECHNOLOGIES INC-A,SMART,NASDAQ
PM,PM,"Consumer, Non-cyclical",Agriculture,Tobacco,PHILIP MORRIS INTERNATIONAL,SMART,NYSE
PNC,PNC,Financial,Banks,Super-Regional Banks-US,PNC FINANCIAL SERVICES GROUP,SMART,NYSE
PNR,PNR,Industrial,Environmental Control,Water Treatment Systems,PENTAIR PLC,SMART,NYSE
PNW,PNW,Utilities,Electric,Electric-Integrated,PINNACLE WEST CAPITAL,SMART,NYSE
PODD,PODD,"Consumer, Non-cyclical",Healthcare-Products,Patient Monitoring Equip,INSULET CORP,SMART,NASDAQ
POOL,POOL,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,POOL CORP,SMART,NASDAQ
PPG,PPG,Basic Materials,Chemicals,Chemicals-Diversified,PPG INDUSTRIES INC,SMART,NYSE
PPL,PPL,Utilities,Electric,Electric-Integrated,PPL CORPORATION,SMART,NYSE
PRU,PRU,Financial,Insurance,Life/Health Insurance,PRUDENTIAL FINANCIAL INC,SMART,NYSE
PSA,PSA,Financial,REITS,REITS-Storage,PUBLIC STORAGE,SMART,NYSE
PSKY,PSKY,Communications,Media,Broadcast Serv/Program,PARAMOUNT SKYDANCE CL B,SMART,NASDAQ
PSX,PSX,Energy,Oil&Gas,Oil Refining&Marketing,PHILLIPS 66,SMART,NYSE
PTC,PTC,Technology,Software,Applications Software,PTC INC,SMART,NASDAQ
PWR,PWR,"Consumer, Non-cyclical",Commercial Services,Commercial Services,QUANTA SERVICES INC,SMART,NYSE
PYPL,PYPL,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,PAYPAL HOLDINGS INC,SMART,NASDAQ
QCOM,QCOM,Technology,Semiconductors,Semicon Compo-Intg Circu,QUALCOMM INC,SMART,NASDAQ
RCL,RCL,"Consumer, Cyclical",Leisure Time,Cruise Lines,ROYAL CARIBBEAN CRUISES LTD,SMART,NYSE
REG,REG,Financial,REITS,REITS-Shopping Centers,REGENCY CENTERS CORP,SMART,NASDAQ
REGN,REGN,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,REGENERON PHARMACEUTICALS,SMART,NASDAQ
RF,RF,Financial,Banks,Commer Banks-Southern US,REGIONS FINANCIAL CORP,SMART,NYSE
RJF,RJF,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,RAYMOND JAMES FINANCIAL INC,SMART,NYSE
RL,RL,"Consumer, Cyclical",Apparel,Apparel Manufacturers,RALPH LAUREN CORP,SMART,NYSE
RMD,RMD,"Consumer, Non-cyclical",Healthcare-Products,Respiratory Products,RESMED INC,SMART,NYSE
ROK,ROK,Industrial,Machinery-Diversified,Industrial Automat/Robot,ROCKWELL AUTOMATION INC,SMART,NYSE
ROL,ROL,"Consumer, Non-cyclical",Commercial Services,Building-Maint&Service,ROLLINS INC,SMART,NYSE
ROP,ROP,Technology,Software,Applications Software,ROPER TECHNOLOGIES INC,SMART,NASDAQ
ROST,ROST,"Consumer, Cyclical",Retail,Retail-Apparel/Shoe,ROSS STORES INC,SMART,NASDAQ
RSG,RSG,Industrial,Environmental Control,Non-hazardous Waste Disp,REPUBLIC SERVICES INC,SMART,NYSE
RTX,RTX,Industrial,Aerospace/Defense,Aerospace/Defense,RTX CORP,SMART,NYSE
RVTY,RVTY,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,REVVITY INC,SMART,NYSE
SBAC,SBAC,Financial,REITS,REITS-Diversified,SBA COMMUNICATIONS CORP,SMART,NASDAQ
SBUX,SBUX,"Consumer, Cyclical",Retail,Retail-Restaurants,STARBUCKS CORP,SMART,NASDAQ
SCHW,SCHW,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,SCHWAB (CHARLES) CORP,SMART,NYSE
SHW,SHW,Basic Materials,Chemicals,Coatings/Paint,SHERWIN-WILLIAMS CO/THE,SMART,NYSE
SJM,SJM,"Consumer, Non-cyclical",Food,Food-Confectionery,JM SMUCKER CO/THE,SMART,NYSE
SLB,SLB,Energy,Oil&Gas Services,Oil-Field Services,SLB LTD,SMART,NYSE
SMCI,SMCI,Technology,Computers,Computers-Integrated Sys,SUPER MICRO COMPUTER INC,SMART,NASDAQ
SNA,SNA,Industrial,Hand/Machine Tools,Tools-Hand Held,SNAP-ON INC,SMART,NYSE
SNPS,SNPS,Technology,Software,Computer Aided Design,SYNOPSYS INC,SMART,NASDAQ
SO,SO,Utilities,Electric,Electric-Integrated,SOUTHERN CO/THE,SMART,NYSE
SOLV,SOLV,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,SOLVENTUM CORP,SMART,NYSE
SPG,SPG,Financial,REITS,REITS-Regional Malls,SIMON PROPERTY GROUP INC,SMART,NYSE
SPGI,SPGI,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,S&P GLOBAL INC,SMART,NYSE
SRE,SRE,Utilities,Electric,Electric-Distribution,SEMPRA,SMART,NYSE
STE,STE,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,STERIS PLC,SMART,NYSE
STLD,STLD,Basic Materials,Iron/Steel,Steel-Producers,STEEL DYNAMICS INC,SMART,NASDAQ
STT,STT,Financial,Banks,Fiduciary Banks,STATE STREET CORP,SMART,NYSE
STX,STX,Technology,Computers,Computers-Memory Devices,SEAGATE TECHNOLOGY HOLDINGS,SMART,NASDAQ
STZ,STZ,"Consumer, Non-cyclical",Beverages,Brewery,CONSTELLATION BRANDS INC-A,SMART,NYSE
SW,SW,Industrial,Packaging&Containers,Containers-Paper/Plastic,SMURFIT WESTROCK PLC,SMART,NYSE
SWK,SWK,Industrial,Hand/Machine Tools,Tools-Hand Held,STANLEY BLACK & DECKER INC,SMART,NYSE
SWKS,SWKS,Technology,Semiconductors,Electronic Compo-Semicon,SKYWORKS SOLUTIONS INC,SMART,NASDAQ
SYF,SYF,Financial,Diversified Finan Serv,Finance-Credit Card,SYNCHRONY FINANCIAL,SMART,NYSE
SYK,SYK,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,STRYKER CORP,SMART,NYSE
SYY,SYY,"Consumer, Non-cyclical",Food,Food-Wholesale/Distrib,SYSCO CORP,SMART,NYSE
T,T,Communications,Telecommunications,Telephone-Integrated,AT&T INC,SMART,NYSE
TAP,TAP,"Consumer, Non-cyclical",Beverages,Brewery,MOLSON COORS BEVERAGE CO - B,SMART,NYSE
TDG,TDG,Industrial,Aerospace/Defense,Aerospace/Defense,TRANSDIGM GROUP INC,SMART,NYSE
TDY,TDY,Industrial,Miscellaneous Manufactur,Miscellaneous Manufactur,TELEDYNE TECHNOLOGIES INC,SMART,NYSE
TECH,TECH,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,BIO-TECHNE CORP,SMART,NASDAQ
TEL,TEL,Industrial,Electronics,Electronic Compo-Misc,TE CONNECTIVITY PLC,SMART,NYSE
TER,TER,Technology,Semiconductors,Semiconductor Equipment,TERADYNE INC,SMART,NASDAQ
TFC,TFC,Financial,Banks,Commer Banks-Southern US,TRUIST FINANCIAL CORP,SMART,NYSE
TGT,TGT,"Consumer, Cyclical",Retail,Retail-Discount,TARGET CORP,SMART,NYSE
TJX,TJX,"Consumer, Cyclical",Retail,Retail-Major Dept Store,TJX COMPANIES INC,SMART,NYSE
TKO,TKO,"Consumer, Cyclical",Entertainment,Professional Sports,TKO GROUP HOLDINGS INC,SMART,NYSE
TMO,TMO,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,THERMO FISHER SCIENTIFIC INC,SMART,NYSE
TMUS,TMUS,Communications,Telecommunications,Cellular Telecom,T-MOBILE US INC,SMART,NASDAQ
TPL,TPL,Energy,Oil&Gas,Oil-US Royalty Trusts,TEXAS PACIFIC LAND CORP,SMART,NYSE
TPR,TPR,"Consumer, Cyclical",Apparel,Apparel Manufacturers,TAPESTRY INC,SMART,NYSE
TRGP,TRGP,Energy,Pipelines,Pipelines,TARGA RESOURCES CORP,SMART,NYSE
TRMB,TRMB,Industrial,Electronics,Electronic Measur Instr,TRIMBLE INC,SMART,NASDAQ
TROW,TROW,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,T ROWE PRICE GROUP INC,SMART,NASDAQ
TRV,TRV,Financial,Insurance,Property/Casualty Ins,TRAVELERS COS INC/THE,SMART,NYSE
TSCO,TSCO,"Consumer, Cyclical",Retail,Retail-Gardening Prod,TRACTOR SUPPLY COMPANY,SMART,NASDAQ
TSLA,TSLA,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,TESLA INC,SMART,NASDAQ
TSN,TSN,"Consumer, Non-cyclical",Food,Food-Meat Products,TYSON FOODS INC-CL A,SMART,NYSE
TT,TT,Industrial,Building Materials,Bldg Prod-Air&Heating,TRANE TECHNOLOGIES PLC,SMART,NYSE
TTD,TTD,Communications,Advertising,Advertising Services,TRADE DESK INC/THE -CLASS A,SMART,NASDAQ
TTWO,TTWO,Technology,Software,Entertainment Software,TAKE-TWO INTERACTIVE SOFTWRE,SMART,NASDAQ
TXN,TXN,Technology,Semiconductors,Electronic Compo-Semicon,TEXAS INSTRUMENTS INC,SMART,NASDAQ
TXT,TXT,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,TEXTRON INC,SMART,NYSE
TYL,TYL,Technology,Software,Enterprise Software/Serv,TYLER TECHNOLOGIES INC,SMART,NYSE
UAL,UAL,"Consumer, Cyclical",Airlines,Airlines,UNITED AIRLINES HOLDINGS INC,SMART,NASDAQ
UBER,UBER,Communications,Internet,E-Commerce/Services,UBER TECHNOLOGIES INC,SMART,NYSE
UDR,UDR,Financial,REITS,REITS-Apartments,UDR INC,SMART,NYSE
UHS,UHS,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,UNIVERSAL HEALTH SERVICES-B,SMART,NYSE
ULTA,ULTA,"Consumer, Cyclical",Retail,Retail-Perfume&Cosmetics,ULTA BEAUTY INC,SMART,NASDAQ
UNH,UNH,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,UNITEDHEALTH GROUP INC,SMART,NYSE
UNP,UNP,Industrial,Transportation,Transport-Rail,UNION PACIFIC CORP,SMART,NYSE
UPS,UPS,Industrial,Transportation,Transport-Services,UNITED PARCEL SERVICE-CL B,SMART,NYSE
URI,URI,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,UNITED RENTALS INC,SMART,NYSE
USB,USB,Financial,Banks,Super-Regional Banks-US,US BANCORP,SMART,NYSE
V,V,Financial,Diversified Finan Serv,Finance-Credit Card,VISA INC-CLASS A SHARES,SMART,NYSE
VICI,VICI,Financial,REITS,REITS-Diversified,VICI PROPERTIES INC,SMART,NYSE
VLO,VLO,Energy,Oil&Gas,Oil Refining&Marketing,VALERO ENERGY CORP,SMART,NYSE
VLTO,VLTO,Industrial,Environmental Control,Water Treatment Systems,VERALTO CORP,SMART,NYSE
VMC,VMC,Industrial,Building Materials,Bldg Prod-Cement/Aggreg,VULCAN MATERIALS CO,SMART,NYSE
VRSK,VRSK,"Consumer, Non-cyclical",Commercial Services,Consulting Services,VERISK ANALYTICS INC,SMART,NASDAQ
VRSN,VRSN,Communications,Internet,Web Hosting/Design,VERISIGN INC,SMART,NASDAQ
VRTX,VRTX,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,VERTEX PHARMACEUTICALS INC,SMART,NASDAQ
VST,VST,Utilities,Electric,Independ Power Producer,VISTRA CORP,SMART,NYSE
VTR,VTR,Financial,REITS,REITS-Health Care,VENTAS INC.,SMART,NYSE
VTRS,VTRS,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Generic Drugs,VIATRIS INC,SMART,NASDAQ
VZ,VZ,Communications,Telecommunications,Telephone-Integrated,VERIZON COMMUNICATIONS INC,SMART,NYSE
WAB,WAB,Industrial,Machinery-Diversified,Machinery-General Indust,WABTEC CORP,SMART,NYSE
WAT,WAT,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,WATERS CORP,SMART,NYSE
WBD,WBD,Communications,Media,Broadcast Serv/Program,WARNER BROS DISCOVERY INC,SMART,NASDAQ
WDAY,WDAY,Technology,Software,Enterprise Software/Serv,WORKDAY INC-CLASS A,SMART,NASDAQ
WDC,WDC,Technology,Computers,Computers-Memory Devices,WESTERN DIGITAL CORP,SMART,NASDAQ
WEC,WEC,Utilities,Electric,Electric-Integrated,WEC ENERGY GROUP INC,SMART,NYSE
WELL,WELL,Financial,REITS,REITS-Health Care,WELLTOWER INC,SMART,NYSE
WFC,WFC,Financial,Banks,Super-Regional Banks-US,WELLS FARGO & CO,SMART,NYSE
WM,WM,Industrial,Environmental Control,Non-hazardous Waste Disp,WASTE MANAGEMENT INC,SMART,NYSE
WMB,WMB,Energy,Pipelines,Pipelines,WILLIAMS COS INC,SMART,NYSE
WMT,WMT,"Consumer, Cyclical",Retail,Retail-Discount,WALMART INC,SMART,NASDAQ
WRB,WRB,Financial,Insurance,Property/Casualty Ins,WR BERKLEY CORP,SMART,NYSE
WSM,WSM,"Consumer, Cyclical",Retail,Retail-Home Furnishings,WILLIAMS-SONOMA INC,SMART,NYSE
WST,WST,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,WEST PHARMACEUTICAL SERVICES,SMART,NYSE
WTW,WTW,Financial,Insurance,Insurance Brokers,WILLIS TOWERS WATSON PLC,SMART,NASDAQ
WY,WY,Financial,REITS,REITS-Diversified,WEYERHAEUSER CO,SMART,NYSE
WYNN,WYNN,"Consumer, Cyclical",Lodging,Casino Hotels,WYNN RESORTS LTD,SMART,NASDAQ
XEL,XEL,Utilities,Electric,Electric-Integrated,XCEL ENERGY INC,SMART,NASDAQ
XOM,XOM,Energy,Oil&Gas,Oil Comp-Integrated,EXXON MOBIL CORP,SMART,NYSE
XYL,XYL,Industrial,Machinery-Diversified,Machinery-Pumps,XYLEM INC,SMART,NYSE
XYZ,XYZ,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,BLOCK INC,SMART,NYSE
YUM,YUM,"Consumer, Cyclical",Retail,Retail-Restaurants,YUM! BRANDS INC,SMART,NYSE
ZBH,ZBH,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,ZIMMER BIOMET HOLDINGS INC,SMART,NYSE
ZBRA,ZBRA,Technology,Office/Business Equip,Office Automation&Equip,ZEBRA TECHNOLOGIES CORP-CL A,SMART,NASDAQ
ZTS,ZTS,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,ZOETIS INC,SMART,NYSE
SNDK,SNDK,Technology,Technology,Computer Storage,SANDISK CORP (DELISTED),SMART,NASDAQ
APP,APP,Technology,Software,Mobile Advertising,APPLOVIN CORP,SMART,NASDAQ
MSTR,MSTR,Technology,Software,Business Intelligence,MICROSTRATEGY INC,SMART,NASDAQ
HOOD,HOOD,Financial,Investment Services,Online Brokerage,ROBINHOOD MARKETS INC,SMART,NASDAQ
SOFI,SOFI,Financial,Financial Services,Fintech,SOFI TECHNOLOGIES INC,SMART,NASDAQ
TSM,TSM,Technology,Semiconductors,Semiconductor Foundry,TAIWAN SEMICONDUCTOR MFG,SMART,NYSE
ASTS,ASTS,Communications,Telecommunications,Satellite Communications,AST SPACEMOBILE INC,SMART,NASDAQ
LITE,LITE,Technology,Semiconductors,Optical Components,LUMENTUM HOLDINGS INC,SMART,NASDAQ
CVNA,CVNA,Consumer Cyclical,Retail,Auto Retail,CARVANA CO,SMART,NYSE
BE,BE,Technology,Energy Equipment,Fuel Cells,BLOOM ENERGY CORP,SMART,NYSE
RKLB,RKLB,Industrials,Aerospace,Space Launch,ROCKET LAB USA INC,SMART,NASDAQ
RBLX,RBLX,Technology,Software,Gaming Platform,ROBLOX CORP,SMART,NYSE
NBIS,NBIS,Technology,Software,AI Infrastructure,NEBIUS GROUP NV,SMART,NASDAQ
U,U,Technology,Software,Gaming Engine,UNITY SOFTWARE INC,SMART,NYSE
IREN,IREN,Technology,Software,Bitcoin Mining,IRIS ENERGY LTD,SMART,NASDAQ
APLD,APLD,Technology,Software,Data Centers,APPLIED DIGITAL CORP,SMART,NASDAQ
BABA,BABA,Technology,Internet,E-Commerce,ALIBABA GROUP HOLDING LTD,SMART,NYSE
COHR,COHR,Technology,Semiconductors,Optical Equipment,COHERENT CORP,SMART,NYSE
OKLO,OKLO,Utilities,Energy,Nuclear Power,OKLO INC,SMART,NYSE
FLUT,FLUT,Consumer Cyclical,Gaming,Online Gambling,FLUTTER ENTERTAINMENT PLC,SMART,NYSE
AEM,AEM,Materials,Mining,Gold Mining,AGNICO EAGLE MINES LTD,SMART,NYSE
SCCO,SCCO,Materials,Mining,Copper Mining,SOUTHERN COPPER CORP,SMART,NYSE
CIEN,CIEN,Technology,Communications Equipment,Networking,CIENA CORP,SMART,NYSE
NU,NU,Financial,Banks,Digital Banking,NU HOLDINGS LTD,SMART,NYSE
AAL,AAL,Industrials,Transportation,Airlines,AMERICAN AIRLINES GROUP INC,SMART,NASDAQ
IONQ,IONQ,Technology,Semiconductors,Quantum Computing,IONQ INC,SMART,NYSE
SAP,SAP,Technology,Software,Enterprise Software,SAP SE,SMART,NYSE
CLS,CLS,Technology,Electronics,Electronics Manufacturing,CELESTICA INC,SMART,NYSE
HL,HL,Materials,Mining,Silver Mining,HECLA MINING CO,SMART,NYSE
SHOP,SHOP,Technology,Internet,E-Commerce Platform,SHOPIFY INC,SMART,NYSE
SNOW,SNOW,Technology,Software,Cloud Data,SNOWFLAKE INC,SMART,NYSE
RDDT,RDDT,Technology,Internet,Social Media,REDDIT INC,SMART,NYSE
VALE,VALE,Materials,Mining,Iron Ore Mining,VALE SA,SMART,NYSE
RKT,RKT,Financial,Financial Services,Mortgage,ROCKET COMPANIES INC,SMART,NYSE
CDE,CDE,Materials,Mining,Silver Mining,COEUR MINING INC,SMART,NYSE
CRDO,CRDO,Technology,Semiconductors,Connectivity Solutions,CREDO TECHNOLOGY GROUP,SMART,NASDAQ
SATS,SATS,Communications,Telecommunications,Satellite,ECHOSTAR CORP,SMART,NASDAQ
CRWV,CRWV,Technology,Software,AI,CROWDSTRIKE HOLDINGS INC,SMART,NASDAQ
SPYM,SPYM,Broad Market,S&P 500,Large Cap,SPDR PORTFOLIO SP 500 HIGH DIVIDEND ETF,SMART,NYSE
USAR,USAR,Technology,Software,AI,USCB FINANCIAL HOLDINGS INC,SMART,NASDAQ
BMNR,BMNR,Materials,Mining,Gold Mining,BRUNSWICK MINING LTD,SMART,NYSE
CRCL,CRCL,Technology,Software,Data Analytics,CIRCLE INTERNET GROUP INC,SMART,NYSE
ONDS,ONDS,Technology,Communications Equipment,Wireless,ONDAS HOLDINGS INC,SMART,NASDAQ
ASML,ASML,Technology,Semiconductors,Semiconductor Equipment,ASML HOLDING NV,SMART,NASDAQ
NET,NET,Technology,Software,Cloud Security,CLOUDFLARE INC,SMART,NYSE
NVO,NVO,Healthcare,Pharmaceuticals,Pharmaceuticals,NOVO NORDISK A/S,SMART,NYSE
AG,AG,Materials,Mining,Silver Mining,FIRST MAJESTIC SILVER CORP,SMART,NYSE
QBTS,QBTS,Technology,Technology,Quantum Computing,D-WAVE QUANTUM INC,SMART,NYSE
MP,MP,Materials,Mining,Rare Earth,MP MATERIALS CORP,SMART,NYSE
VRT,VRT,Industrials,Industrial Services,Data Center Infrastructure,VERTIV HOLDINGS CO,SMART,NYSE
B,B,Industrials,Industrial Products,Industrial Machinery,BARNES GROUP INC,SMART,NYSE
MRVL,MRVL,Technology,Semiconductors,Semiconductors,MARVELL TECHNOLOGY INC,SMART,NASDAQ
PAAS,PAAS,Materials,Mining,Silver Mining,PAN AMERICAN SILVER CORP,SMART,NASDAQ
RDW,RDW,Technology,Aerospace,Space Technology,REDWIRE CORP,SMART,NYSE
BBAI,BBAI,Technology,Software,AI Analytics,BIGBEAR AI HOLDINGS INC,SMART,NYSE
CCJ,CCJ,Energy,Uranium,Uranium Mining,CAMECO CORP,SMART,NYSE
CIFR,CIFR,Technology,Technology,Bitcoin Mining,CIPHER MINING INC,SMART,NASDAQ
CPNG,CPNG,Technology,Internet,E-Commerce,COUPANG INC,SMART,NYSE
UUUU,UUUU,Energy,Uranium,Uranium Mining,ENERGY FUELS INC,SMART,NYSE
JOBY,JOBY,Industrials,Aerospace,Electric Aviation,JOBY AVIATION INC,SMART,NYSE
ALAB,ALAB,Technology,Semiconductors,Data Center Semiconductors,ASTERA LABS INC,SMART,NASDAQ
TEAM,TEAM,Technology,Software,Collaboration Software,ATLASSIAN CORP,SMART,NASDAQ
RGTI,RGTI,Technology,Technology,Quantum Computing,RIGETTI COMPUTING INC,SMART,NASDAQ
HIMS,HIMS,Healthcare,Healthcare Services,Telehealth,HIMS & HERS HEALTH INC,SMART,NYSE
WPM,WPM,Materials,Precious Metals,Precious Metals Streaming,WHEATON PRECIOUS METALS CORP,SMART,NYSE
PINS,PINS,Technology,Internet,Social Media,PINTEREST INC,SMART,NYSE
ARM,ARM,Technology,Semiconductors,Semiconductor IP,ARM HOLDINGS PLC,SMART,NASDAQ
MARA,MARA,Technology,Technology,Bitcoin Mining,MARATHON DIGITAL HOLDINGS,SMART,NASDAQ
SE,SE,Technology,Internet,E-Commerce,SEA LTD,SMART,NYSE
WULF,WULF,Technology,Technology,Bitcoin Mining,TERAWULF INC,SMART,NASDAQ
SMR,SMR,Energy,Nuclear,Nuclear Energy,NUSCALE POWER CORP,SMART,NYSE
AZN,AZN,Healthcare,Pharmaceuticals,Pharmaceuticals,ASTRAZENECA PLC,SMART,NASDAQ
ZM,ZM,Technology,Software,Video Communications,ZOOM VIDEO COMMUNICATIONS,SMART,NASDAQ
PBR,PBR,Energy,Oil & Gas,Oil & Gas E&P,PETROLEO BRASILEIRO SA,SMART,NYSE
DKNG,DKNG,Consumer Discretionary,Entertainment,Online Gaming,DRAFTKINGS INC,SMART,NASDAQ
GME,GME,Consumer Discretionary,Retail,Video Game Retail,GAMESTOP CORP,SMART,NYSE
CLSK,CLSK,Technology,Technology,Bitcoin Mining,CLEANSPARK INC,SMART,NASDAQ
