symbol,query_symbol,industry,category,subcategory,longName,exchange,primaryExchange
DELL,DELL,Technology,Computers,Computers,DELL TECHNOLOGIES -C,SMART,NYSE
DG,DG,"Consumer, Cyclical",Retail,Retail-Discount,DOLLAR GENERAL CORP,SMART,NYSE
DGX,DGX,"Consumer, Non-cyclical",Healthcare-Services,Medical Labs&Testing Srv,QUEST DIAGNOSTICS INC,SMART,NYSE
DHI,DHI,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,DR HORTON INC,SMART,NYSE
DHR,DHR,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,DANAHER CORP,SMART,NYSE
DIS,DIS,Communications,Media,Multimedia,WALT DISNEY CO/THE,SMART,NYSE
DLR,DLR,Financial,REITS,REITS-Diversified,DIGITAL REALTY TRUST INC.,SMART,NYSE
DLTR,DLTR,"Consumer, Cyclical",Retail,Retail-Discount,DOLLAR TREE INC,SMART,NASDAQ
DOC,DOC,Financial,REITS,REITS-Health Care,HEALTHPEAK PROPERTIES INC,SMART,NYSE
DOV,DOV,Industrial,Machinery-Diversified,Machinery-Pumps,DOVER CORP,SMART,NYSE
DOW,DOW,Basic Materials,Chemicals,Chemicals-Diversified,DOW INC,SMART,NYSE
DPZ,DPZ,"Consumer, Cyclical",Retail,Retail-Restaurants,DOMINO'S PIZZA INC,SMART,NASDAQ
DRI,DRI,"Consumer, Cyclical",Retail,Retail-Restaurants,DARDEN RESTAURANTS INC,SMART,NYSE
DTE,DTE,Utilities,Electric,Electric-Integrated,DTE ENERGY COMPANY,SMART,NYSE
DUK,DUK,Utilities,Electric,Electric-Integrated,DUKE ENERGY CORP,SMART,NYSE
DVA,DVA,"Consumer, Non-cyclical",Healthcare-Services,Dialysis Centers,DAVITA INC,SMART,NYSE
DVN,DVN,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,DEVON ENERGY CORP,SMART,NYSE
DXCM,DXCM,"Consumer, Non-cyclical",Pharmaceuticals,Drug Delivery Systems,DEXCOM INC,SMART,NASDAQ
EA,EA,Technology,Software,Entertainment Software,ELECTRONIC ARTS INC,SMART,NASDAQ
EBAY,EBAY,Communications,Internet,E-Commerce/Products,EBAY INC,SMART,NASDAQ
ECL,ECL,Basic Materials,Chemicals,Chemicals-Specialty,ECOLAB INC,SMART,NYSE
ED,ED,Utilities,Electric,Electric-Distribution,CONSOLIDATED EDISON INC,SMART,NYSE
EFX,EFX,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,EQUIFAX INC,SMART,NYSE
EG,EG,Financial,Insurance,Reinsurance,EVEREST GROUP LTD,SMART,NYSE
EIX,EIX,Utilities,Electric,Electric-Integrated,EDISON INTL,SMART,NYSE
EL,EL,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,ESTEE LAUDER COMPANIES-CL A,SMART,NYSE
ELV,ELV,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,ELEVANCE HEALTH INC,SMART,NYSE
EMN,EMN,Basic Materials,Chemicals,Chemicals-Diversified,EASTMAN CHEMICAL CO,SMART,NYSE
EMR,EMR,Industrial,Electrical Compo&Equip,Electric Products-Misc,EMERSON ELECTRIC CO,SMART,NYSE
ENPH,ENPH,Energy,Energy-Alternate Sources,Energy-Alternate Sources,ENPHASE ENERGY INC,SMART,NASDAQ
EOG,EOG,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,EOG RESOURCES INC,SMART,NYSE
EPAM,EPAM,Technology,Computers,Computer Services,EPAM SYSTEMS INC,SMART,NYSE
EQIX,EQIX,Financial,REITS,REITS-Diversified,EQUINIX INC,SMART,NASDAQ
EQR,EQR,Financial,REITS,REITS-Apartments,EQUITY RESIDENTIAL,SMART,NYSE
EQT,EQT,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,EQT CORP,SMART,NYSE
ERIE,ERIE,Financial,Insurance,Property/Casualty Ins,ERIE INDEMNITY COMPANY-CL A,SMART,NASDAQ
ES,ES,Utilities,Electric,Electric-Distribution,EVERSOURCE ENERGY,SMART,NYSE
ESS,ESS,Financial,REITS,REITS-Apartments,ESSEX PROPERTY TRUST INC,SMART,NYSE
ETN,ETN,Industrial,Electrical Compo&Equip,Power Conv/Supply Equip,EATON CORP PLC,SMART,NYSE
ETR,ETR,Utilities,Electric,Electric-Integrated,ENTERGY CORP,SMART,NYSE
EVRG,EVRG,Utilities,Electric,Electric-Integrated,EVERGY INC,SMART,NASDAQ
EW,EW,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,EDWARDS LIFESCIENCES CORP,SMART,NYSE
EXC,EXC,Utilities,Electric,Electric-Distribution,EXELON CORP,SMART,NASDAQ
EXE,EXE,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,EXPAND ENERGY CORP,SMART,NASDAQ
EXPD,EXPD,Industrial,Transportation,Transport-Services,EXPEDITORS INTL WASH INC,SMART,NYSE
EXPE,EXPE,Communications,Internet,E-Commerce/Services,EXPEDIA GROUP INC,SMART,NASDAQ
EXR,EXR,Financial,REITS,REITS-Storage,EXTRA SPACE STORAGE INC,SMART,NYSE
F,F,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,FORD MOTOR CO,SMART,NYSE
FANG,FANG,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,DIAMONDBACK ENERGY INC,SMART,NASDAQ
FAST,FAST,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,FASTENAL CO,SMART,NASDAQ
FCX,FCX,Basic Materials,Mining,Metal-Copper,FREEPORT-MCMORAN INC,SMART,NYSE
FDS,FDS,Communications,Media,Multimedia,FACTSET RESEARCH SYSTEMS INC,SMART,NYSE
FDX,FDX,Industrial,Transportation,Transport-Services,FEDEX CORPORATION,SMART,NYSE
FE,FE,Utilities,Electric,Electric-Integrated,FIRSTENERGY CORP,SMART,NYSE
FFIV,FFIV,Communications,Internet,Internet Infrastr Sftwr,F5 INC,SMART,NASDAQ
FICO,FICO,Technology,Software,Data Processing/Mgmt,FAIR ISAAC CORP,SMART,NYSE
FIS,FIS,Technology,Software,Data Processing/Mgmt,FIDELITY NATIONAL INFO SERV,SMART,NYSE
FITB,FITB,Financial,Banks,Super-Regional Banks-US,FIFTH THIRD BANCORP,SMART,NASDAQ
FOX,FOX,Communications,Media,Broadcast Serv/Program,FOX CORP - CLASS B,SMART,NASDAQ
FOXA,FOXA,Communications,Media,Broadcast Serv/Program,FOX CORP - CLASS A,SMART,NASDAQ
FRT,FRT,Financial,REITS,REITS-Shopping Centers,FEDERAL REALTY INVS TRUST,SMART,NYSE
FSLR,FSLR,Energy,Energy-Alternate Sources,Energy-Alternate Sources,FIRST SOLAR INC,SMART,NASDAQ
FTNT,FTNT,Technology,Computers,Computer Data Security,FORTINET INC,SMART,NASDAQ
FTV,FTV,Industrial,Electronics,Electronic Measur Instr,FORTIVE CORP,SMART,NYSE
GD,GD,Industrial,Aerospace/Defense,Aerospace/Defense,GENERAL DYNAMICS CORP,SMART,NYSE
GDDY,GDDY,Communications,Internet,Web Hosting/Design,GODADDY INC - CLASS A,SMART,NYSE
GE,GE,Industrial,Aerospace/Defense,Aerospace/Defense-Equip,GENERAL ELECTRIC,SMART,NYSE
GEHC,GEHC,"Consumer, Non-cyclical",Healthcare-Products,Medical Imaging Systems,GE HEALTHCARE TECHNOLOGY,SMART,NASDAQ
GEN,GEN,Communications,Internet,Internet Security,GEN DIGITAL INC,SMART,NASDAQ
GEV,GEV,Industrial,Machinery-Constr&Mining,Machinery-Electric Util,GE VERNOVA INC,SMART,NYSE
GILD,GILD,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,GILEAD SCIENCES INC,SMART,NASDAQ
GIS,GIS,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,GENERAL MILLS INC,SMART,NYSE
GL,GL,Financial,Insurance,Life/Health Insurance,GLOBE LIFE INC,SMART,NYSE
GLW,GLW,Communications,Telecommunications,Telecom Eq Fiber Optics,CORNING INC,SMART,NYSE
GM,GM,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,GENERAL MOTORS CO,SMART,NYSE
GNRC,GNRC,Industrial,Electrical Compo&Equip,Power Conv/Supply Equip,GENERAC HOLDINGS INC,SMART,NYSE
GOOG,GOOG,Communications,Internet,Web Portals/ISP,ALPHABET INC-CL C,SMART,NASDAQ
GOOGL,GOOGL,Communications,Internet,Web Portals/ISP,ALPHABET INC-CL A,SMART,NASDAQ
GPC,GPC,"Consumer, Cyclical",Retail,Retail-Auto Parts,GENUINE PARTS CO,SMART,NYSE
GPN,GPN,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,GLOBAL PAYMENTS INC,SMART,NYSE
GRMN,GRMN,Industrial,Electronics,Electronic Compo-Misc,GARMIN LTD,SMART,NYSE
GS,GS,Financial,Banks,Diversified Banking Inst,GOLDMAN SACHS GROUP INC,SMART,NYSE
GWW,GWW,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,WW GRAINGER INC,SMART,NYSE
HAL,HAL,Energy,Oil&Gas Services,Oil-Field Services,HALLIBURTON CO,SMART,NYSE
HAS,HAS,"Consumer, Cyclical",Toys/Games/Hobbies,Toys,HASBRO INC,SMART,NASDAQ
HBAN,HBAN,Financial,Banks,Super-Regional Banks-US,HUNTINGTON BANCSHARES INC,SMART,NASDAQ
HCA,HCA,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,HCA HEALTHCARE INC,SMART,NYSE
HD,HD,"Consumer, Cyclical",Retail,Retail-Building Products,HOME DEPOT INC,SMART,NYSE
HIG,HIG,Financial,Insurance,Multi-line Insurance,HARTFORD INSURANCE GROUP INC,SMART,NYSE
HII,HII,Industrial,Shipbuilding,Shipbuilding,HUNTINGTON INGALLS INDUSTRIE,SMART,NYSE
HLT,HLT,"Consumer, Cyclical",Lodging,Hotels&Motels,HILTON WORLDWIDE HOLDINGS IN,SMART,NYSE
HOLX,HOLX,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Kits,HOLOGIC INC,SMART,NASDAQ
HON,HON,Industrial,Electronics,Instruments-Controls,HONEYWELL INTERNATIONAL INC,SMART,NASDAQ
HPE,HPE,Technology,Computers,Computers,HEWLETT PACKARD ENTERPRISE,SMART,NYSE
HPQ,HPQ,Technology,Computers,Computers,HP INC,SMART,NYSE
